(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 1, 0, 0, 122], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 1, 0, 0, 171], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [0, 0, 13, 31, 13, 1, 1, 0, 0, 240], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [510, 0, 13, 39, 13, 1, 2, 1, 0, 517], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [410, 0, 15, 39, 13, 1, 2, 1, 0, 518], 'reward': 0, 'action': None, 'done': False})
(9, {'state': [955, 0, 17, 39, 13, 1, 2, 1, 2, 766], 'reward': 3235, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [90, 0, 13, 23, 13, 1, 1, 0, 0, 188], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [600, 0, 13, 23, 13, 1, 2, 1, 0, 465], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [500, 0, 15, 23, 13, 1, 2, 1, 0, 466], 'reward': 0, 'action': None, 'done': False})
(9, {'state': [1035, 0, 17, 23, 13, 1, 2, 1, 2, 714], 'reward': 3287, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': 4, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [95, 0, 13, 23, 13, 1, 1, 0, 0, 189], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [605, 0, 13, 23, 13, 1, 2, 1, 0, 469], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'reward': 0, 'action': 0, 'done': False})
(9, {'state': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'reward': 0, 'action': 0, 'done': False})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': 8, 'done': False})
(1, {'state': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'reward': 0, 'action': 0, 'done': False})
(2, {'state': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'reward': 0, 'action': 0, 'done': False})
(3, {'state': [610, 0, 13, 23, 13, 1, 2, 1, 0, 465], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'reward': 0, 'action': 0, 'done': False})
(9, {'state': [1055, 0, 17, 23, 13, 1, 2, 1, 2, 714], 'reward': 3287, 'action': None, 'done': True})

