(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [5, 0, 12, 15, 12, 1, 1, 0, 0, 103], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [5, 0, 12, 23, 12, 1, 1, 0, 0, 173], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 12, 31, 12, 1, 2, 1, 0, 227], 'reward': 0, 'action': None, 'done': False})
(0, {'state': [5, 0, 12, 31, 12, 1, 2, 1, 0, 254], 'reward': 0, 'action': None, 'done': False})
(0, {'state': [0, 0, 13, 31, 12, 1, 2, 1, 0, 281], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 14, 31, 13, 1, 2, 1, 0, 325], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [160, 0, 14, 47, 14, 1, 2, 1, 0, 448], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [65, 0, 16, 47, 14, 1, 2, 1, 0, 449], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [645, 0, 18, 47, 14, 1, 2, 1, 2, 697], 'reward': 3304, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 2], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 12, 15, 12, 1, 1, 0, 0, 102], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [20, 0, 12, 15, 12, 1, 1, 0, 0, 104], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [80, 0, 13, 23, 13, 1, 1, 0, 0, 184], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [585, 0, 13, 23, 13, 1, 2, 1, 0, 461], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [490, 0, 15, 23, 13, 1, 2, 1, 0, 462], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [1030, 0, 17, 23, 13, 1, 2, 1, 2, 710], 'reward': 3291, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 2], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [5, 0, 12, 15, 12, 1, 0, 0, 0, 47], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(0, {'state': [5, 0, 12, 15, 12, 1, 1, 0, 0, 74], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 13, 15, 12, 1, 1, 0, 0, 123], 'reward': 0, 'action': None, 'done': False})
