(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [90, 0, 15, 23, 15, 1, 2, 1, 0, 232], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 233], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [500, 0, 18, 23, 16, 1, 2, 2, 1, 506], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [400, 0, 18, 31, 16, 1, 2, 2, 1, 507], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [300, 0, 20, 31, 16, 1, 2, 2, 2, 508], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [675, 0, 20, 31, 16, 1, 2, 2, 2, 652], 'reward': 11215, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [110, 0, 15, 23, 15, 1, 2, 1, 0, 234], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [60, 0, 16, 23, 16, 1, 2, 1, 0, 235], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 274], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [495, 0, 18, 23, 16, 1, 2, 2, 1, 507], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [400, 0, 20, 23, 16, 1, 2, 2, 2, 508], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [810, 0, 20, 23, 16, 1, 2, 2, 2, 655], 'reward': 11195, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 238], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [650, 0, 18, 23, 16, 1, 2, 1, 1, 510], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [505, 0, 18, 23, 16, 1, 2, 2, 1, 511], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [410, 0, 18, 31, 16, 1, 2, 2, 1, 512], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [310, 0, 20, 31, 16, 1, 2, 2, 2, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [940, 0, 20, 31, 16, 1, 2, 2, 2, 759], 'reward': 10510, 'action': None, 'done': True})

